SRC: 	 ɡazalantʁatmif
PRED:	 ʊ n f ɛ ɪ ɡ ə ʁ ɐ   i b ɪ ɡ ə ʁ ɐ   i b ɪ ŋ

SRC: 	 pɔʁtuɡizɪʃaʃfalvut
TRG: 	 p ɔ ʁ t u ɡ i z ɪ ʃ   a ʃ f a l   v u t
PRED:	 p ɔ ʁ t u ɡ i z ɪ ʃ   h a ɡ i z ɪ ʃ   f a ɡ i z ɪ ʃ   f a ɡ i z ɪ ʃ

SRC: 	 tʁɛmpɐlœkətifɡaŋəs
TRG: 	 t ʁ ɛ m p ɐ   l œ k ə   t i f ɡ a ŋ ə s
PRED:	 t ʁ ɛ m p ɐ l œ k ə   t i f ɡ a ŋ ə s

SRC: 	 byɡlsvonflɛçəʃlʏsl
TRG: 	 b y ɡ l s   v o n f l ɛ ç ə   ʃ l ʏ s l
PRED:	 b y ɡ l s

SRC: 	 t͡svɪŋəndɐtrækaɪns
TRG: 	 t ͡ s v ɪ ŋ ə n d ɐ   t r æ k   a ɪ n s
PRED:	 t ͡ s v ɪ ŋ ə n d ɐ   t l ə n d ɐ   t k a ɪ n s

SRC: 	 klaptɪʃufoaʊfnemɐn
TRG: 	 k l a p t ɪ ʃ   u f o   a ʊ f n e m ɐ n
PRED:	 k l a p t ɪ ʃ u f n   e m ɐ n e m ɐ n   e m ɐ n e m ɐ n   e m ɐ n e

SRC: 	 haʊziʁəntkalɛmajas
TRG: 	 h a ʊ z i ʁ ə n t   k a l ɛ   m a j a s
PRED:	 h a ʊ z i ʁ ə n t   k a l ɛ m a l ɛ m a l ɐ

SRC: 	 mɛltəaʊsbɪsɛntmɪʃn
TRG: 	 m ɛ l t ə   a ʊ s b ɪ s   ɛ n t m ɪ ʃ n
PRED:	 m ɛ l t ə   a ʊ s b ɪ s a ʊ s a ʊ s   ɛ n t m ɪ s ɛ n t m ɪ ʃ n

SRC: 	 aptustlabɐn ankɪpa
TRG: 	 a p t u s t   l a b ɐ n   a n   k ɪ p a
PRED:	 a p t u s t l a b ɐ n   k ɪ p   a b ɐ n a b ɐ n   k ɪ p   a n k ɪ p

SRC: 	 hɛsnsehɛkʃtʁit͡sln
TRG: 	 h ɛ s n s   e h ɛ k   ʃ t ʁ i t ͡ s l n
PRED:	 h ɛ s n s ə s   e h ɛ k ʃ t ʁ i t ͡ s l n

SRC: 	 vaknɪsə…ɪʁitiɐtəst
TRG: 	 v a k n ɪ s ə   …   ɪ ʁ i t i ɐ t ə s t
PRED:	 v a k n ɪ s ə   a k n ɪ s ə   a k n ɪ ʁ i t i ɐ t ə s t

SRC: 	 haʁɪɡnlak naəoboɐs
TRG: 	 h a ʁ ɪ ɡ n   l a k   n a ə   o b o ɐ s
PRED:	 h a ʁ ɪ ɡ n   l a ʁ ɪ ɡ n   l a ɐ s

SRC: 	 kɪt͡sltbaɪɡntnɔsns
TRG: 	 k ɪ t ͡ s l t   b a ɪ ɡ n t   n ɔ s n s
PRED:	 k ɪ t ͡ s l t   b a ɪ ɡ n t   b a ɪ ɡ n s

SRC: 	 bladəʃaŋktɪʃəlaməs
TRG: 	 b l a d ə   ʃ a ŋ k t ɪ ʃ ə   l a m ə s
PRED:	 b l a d ə   ʃ a ŋ k t ɪ ʃ ə s

SRC: 	 jɛʁəʃʁɛkətfɛɐmɛsəst
TRG: 	 j ɛ ʁ ə   ʃ ʁ ɛ k ə t   f ɛ ɐ m ɛ s ə s t
PRED:	 y ɔ ʁ ə   ʃ ʁ ɛ k ə   ʃ ʁ ɛ k ə t   f ɛ ɐ m ɛ s ə s t

SRC: 	 vɪmləkantnkʊnstʁazn
TRG: 	 v ɪ m l ə   k a n t n   k ʊ n s t ʁ a z n
PRED:	 v ɪ m l ə   k a n t n k a n s t n   k ʊ n s t n

SRC: 	 anɛsndəntʁɛtət ʊmɛf
TRG: 	 a n ɛ s n d ə n   t ʁ ɛ t ə t   ʊ m   ɛ f
PRED:	 a n ɛ s n d ə n   ɪ n d ə n

SRC: 	 ɪçlaʊtəziɡəʁɪnvaɪlə
TRG: 	 ɪ ç l a ʊ t ə   z i ɡ ə ʁ ɪ n   v a ɪ l ə
PRED:	 ɪ ç l a ʊ t ə ʁ ɪ ʁ ɪ ç   l a ʊ t ə ʁ ɪ n   v a ɪ n v a ɪ l ə

SRC: 	 lɛksikaɡebndəmaɪçtə
TRG: 	 l ɛ k s i k a   ɡ e b n d ə m   a ɪ ç t ə
PRED:	 l ɛ k s i k a ɡ e b n d ə m   a ɡ e b n d ə

SRC: 	 ɡabədʊktilɐʃpɛtʃɪçt
TRG: 	 ɡ a b ə   d ʊ k t i l ɐ   ʃ p ɛ t ʃ ɪ ç t
PRED:	 ɡ a b ə d ʊ k t d ʊ k t d ʊ k t

SRC: 	 vaʁtənhodnbʁʊxkødɐt
TRG: 	 v a ʁ t ə n   h o d n b ʁ ʊ x   k ø d ɐ t
PRED:	 v a ʁ t ə n   h o d n h o d ɐ

SRC: 	 kaʁɡəvylbəfɛləst an
TRG: 	 k a ʁ ɡ ə   v y l   b ə f ɛ l ə s t   a n
PRED:	 k a ʁ ɡ ə   v y l b ə f ɛ l   a n

SRC: 	 ʃɪkspʊfɔtɐkapɐfaɐtn
TRG: 	 ʃ ɪ k s   p ʊ f ɔ t ɐ   k a p ɐ f a ɐ t n
PRED:	 ʃ ɪ k s p ʊ f a ʁ ə s   p ʊ f a ʁ ə s   p ʊ f a ə t n

SRC: 	 frɑ̃aʊsleptətboʁiʊm
TRG: 	 f r ɑ ̃   a ʊ s l e p t ə t   b o ʁ i ʊ m
PRED:	 f ʁ a ʊ s l e p t ə t   b o ʁ i ʊ m

SRC: 	 dannaxhɪlfnɡebə ybɐ
TRG: 	 d a n   n a x h ɪ l f n   ɡ e b ə   y b ɐ
PRED:	 d a n   n a x h ɪ l f n   ɡ e b ə   ɔ z a n   ɡ e b ə   ɔ ɪ l f n  

SRC: 	 hœfɪɡəsfɛɐnamklɪfəs
TRG: 	 h œ f ɪ ɡ ə s   f ɛ ɐ n a m   k l ɪ f ə s
PRED:	 h œ f ɪ ɡ ə s   f ɛ ɐ n a m k l ɪ f ə s

SRC: 	 uɐaltɐhalpʃuəspʁɛsə
TRG: 	 u ɐ a l t ɐ   h a l p ʃ u ə s   p ʁ ɛ s ə
PRED:	 u ɐ a l t ɐ h a l t ɐ   h a l p ʃ u ə s   p ʁ ɛ s ə

SRC: 	 zaʊnədɛʁpstnkvotalɐ
TRG: 	 z a ʊ n ə   d ɛ ʁ p s t n   k v o t a l ɐ
PRED:	 b ə d ɛ ʁ p s t n   k v o t n   k v o t a l ɐ

SRC: 	 dʁetyɐanbetəstklɛʁə
TRG: 	 d ʁ e t y ɐ   a n b e t ə s t   k l ɛ ʁ ə
PRED:	 d ʁ e t y ɐ a n b e t   k l ɛ ʁ ə s t   k l ɛ ʁ ə

SRC: 	 eɐbaʁəshɛʁtənotoʁɪʃ
TRG: 	 e ɐ b a ʁ ə s   h ɛ ʁ t ə   n o t o ʁ ɪ ʃ
PRED:	 e ɐ b a ʁ ə s   h ɛ ʁ t ə s   h ɛ ʁ t o ʁ ɪ ʃ

SRC: 	 ɡɔltliplɪçəsmaɪabnt
TRG: 	 ɡ ɔ l t   l i p l ɪ ç ə s   m a ɪ a b n t
PRED:	 ɡ ɔ l t l ɪ ç ə s   m a p l ɪ ç ə s   m a b n t

SRC: 	 ʁuətaɡnʁɛndɐntblødɐ
TRG: 	 ʁ u ə t a ɡ n   ʁ ɛ n d ɐ n t   b l ø d ɐ
PRED:	 ʁ u ə t a ɡ n   ʁ ɛ n t b l ø d ɐ n   ʁ ɛ n t b l ø d ɐ

SRC: 	 vɛnkɔt͡sybləaʊstʁal
TRG: 	 v ɛ n   k ɔ t ͡ s y b l ə   a ʊ s t ʁ a l
PRED:	 v ɛ n k ɔ t ͡ s   y b l ə   a ʊ s t ʁ a l

SRC: 	 aptaʊʃtkabinɛtəanbuk
TRG: 	 a p t a ʊ ʃ t   k a b i n ɛ t ə   a n b u k
PRED:	 a p t a ʊ ʃ t a p t   k a b u k a b u k t ə   a n b u k

SRC: 	 aɪnzɛəlʊftlɔxfɛɐfyɐt
TRG: 	 a ɪ n z ɛ ə   l ʊ f t l ɔ x   f ɛ ɐ f y ɐ t
PRED:	 a ɪ n z ɛ ə l ʊ f t l ʊ f t l ɔ x   l ɔ x f y ɐ   f y ɐ f y ɐ

SRC: 	 bəzɛətʊmfalətbəlɛktə
TRG: 	 b ə z ɛ ə t   ʊ m f a l ə t   b ə l ɛ k t ə
PRED:	 b ə z ɛ ə t   ʊ m f a l ə t   b ə z ɛ k t ə t ə

SRC: 	 axɪlaldehydəmɛntalən
TRG: 	 a x ɪ l   a l d e h y d ə   m ɛ n t a l ə n
PRED:	 a x ɪ l   h y d ə m ɛ n t a l   d e h y d e h y d e h y d e h y d e

SRC: 	 aʃkenazɪʃhasəaɡilstɐ
TRG: 	 a ʃ k e n a z ɪ ʃ   h a s ə   a ɡ i l s t ɐ
PRED:	 a ʃ k e n a ç ə   a ʃ h a z ɪ ʃ   h a ɡ i l s ə   a ɡ i l s t ɐ

SRC: 	 ybɐzeəstkaʁdeldolozm
TRG: 	 y b ɐ z e ə s t   k a ʁ d e l   d o l o z m
PRED:	 y b ɐ z e ə s t   k a ʁ d e l   d e l d e l   d e l d e l   d e l d

SRC: 	 vɔltlofaʁbənəbetndən
TRG: 	 v ɔ l t   l o f a ʁ b ə n ə   b e t n d ə n
PRED:	 v ɔ l t l o f a ʁ b ə n ə   b e t l o f a ʁ b e t n

SRC: 	 maʁknvaɪnəpaketnfɛsl
TRG: 	 m a ʁ k n v a ɪ n ə   p a k e t n   f ɛ s l
PRED:	 m a ʁ k n a ʁ k n   v a ɪ n   v a ɪ n f ɛ s l

SRC: 	 ɛfɪnhaltlɪçɡʁɪntvalə
TRG: 	 ɛ f   ɪ n h a l t l ɪ ç   ɡ ʁ ɪ n t v a l ə
PRED:	 ɛ f ɪ n h a l t l ɪ ç ɡ ʁ ɪ ç   ɡ ʁ ɪ ʁ ɪ ʃ ə

SRC: 	 ɡəʁɪçtnt͡suzɪçɐkʁaʊx
TRG: 	 ɡ ə ʁ ɪ ç t n   t ͡ s u z ɪ ç ɐ   k ʁ a ʊ x
PRED:	 ɡ ə ʁ ɪ ç t n   t ͡ s u z ɪ ç ɐ   k ʁ a ʊ ɡ ə ʁ a ʊ l ə ʁ a ʊ l ə ʁ

SRC: 	 nakst anpaʁənttuaʁɛk
TRG: 	 n a k s t   a n   p a ʁ ə n t   t u a ʁ ɛ k
PRED:	 n a k s t   a ʁ ə n t   t   t   t   t   t   t   t   t   t   a ͡ f a

SRC: 	 çtonɪʃɡʁʊntvœʁtɐnlɔx
TRG: 	 ç t o n ɪ ʃ   ɡ ʁ ʊ n t v œ ʁ t ɐ n   l ɔ x
PRED:	 ç t o n ɪ ʃ ɡ ʁ ʊ n t   v œ ʁ p   t ɛ ʁ p

SRC: 	 blɪndəmkifɐnənʃlɪçtə
TRG: 	 b l ɪ n d ə m   k i f ɐ n ə n   ʃ l ɪ ç t ə
PRED:	 b l ɪ n d ə m   k i f ɐ n ə m k i f ɐ n   ʃ l ɪ ç t ə n   ʃ l ɪ ç t

SRC: 	 ziləsmɪtlfɛldɐmohɛʁə
TRG: 	 z i l ə s   m ɪ t l f ɛ l d ɐ   m o h ɛ ʁ ə
PRED:	 z i l ə s m ɪ t l   f ɛ l f ɛ l d ɐ m o h ɛ ʁ ə

SRC: 	 jodiɐtnzaktaʊsvʏʁfst
TRG: 	 j o d i ɐ t n   z a k t   a ʊ s v ʏ ʁ f s t
PRED:	 y o d i ɐ t n   z a k t a k t   a ʊ s v ʏ ʁ f s t

SRC: 	 hynɐbʁatnskiktnzenst
TRG: 	 h y n ɐ b ʁ a t n s   k i k t n   z e n s t
PRED:	 h y n ɐ b ʁ a t n s   k i k i k i k i k i k i k i k ə m   k i k t n

SRC: 	 kœlnsnɛɐndɛçtəst vɛk
TRG: 	 k œ l n s   n ɛ ɐ n   d ɛ ç t ə s t   v ɛ k
PRED:	 k œ l n s n u l n   ɛ ɐ n k ɛ k

SRC: 	 ʃtet aɪnɡəmɛçɐfyʁəst
TRG: 	 ʃ t e t   a ɪ n   ɡ ə m ɛ ç ɐ   f y ʁ ə s t
PRED:	 ʃ t e t   a ɪ n   ɡ ə m ɛ ç ɐ f y ʁ ə m   ɛ ç ɐ f y ʁ ə s t

SRC: 	 …vaɪnzelɪçkaɪtzaɪltn
TRG: 	 …   v a ɪ n z e l ɪ ç k a ɪ t   z a ɪ l t n
PRED:	 v a ɪ n z e l ɪ ç   k a ɪ t z e l ɪ ç k a ɪ t m ə m   k a ɪ l t l t

SRC: 	 apʃtɪlətøləndʁɪŋəndɐ
TRG: 	 a p ʃ t ɪ l ə t   ø l ə n   d ʁ ɪ ŋ ə n d ɐ
PRED:	 a p ʃ t ɪ l ə n   d ʁ ɪ l ə n d ɐ

SRC: 	 ɛkstʁakt͡sʃpuknɛbiçə
TRG: 	 ɛ k s t ʁ a k t ͡ s   ʃ p u k n   ɛ b i ç ə
PRED:	 ɛ k s t ʁ a k s   ʃ p u k t ͡ s ʃ p u k n ɛ b i ç ə

SRC: 	 hɪmlssfɛʁənteaɪznbas
TRG: 	 h ɪ m l s s f ɛ ʁ ə n   t e a ɪ z n   b a s
PRED:	 h ɪ m l s   m l s   f ɛ ʁ ə n t e a l s

SRC: 	 ʁumoʁənøfnfɛɐhɛʁtəst
TRG: 	 ʁ u m o ʁ ə n   ø f n   f ɛ ɐ h ɛ ʁ t ə s t
PRED:	 ʁ u m o ʁ i   f ɛ ɐ h ɛ ʁ   n ø f n   f ɛ ɐ h ɛ ʁ t ə s t

SRC: 	 malstbəɡeəstdʁɛtlɔks
TRG: 	 m a l s t   b ə ɡ e ə s t   d ʁ ɛ t l ɔ k s
PRED:	 m a l s t b ə ɡ e ə s t   d ʁ ɛ t ɡ e ə s t   d ʁ ɛ t l ɔ k s t d ʁ

SRC: 	 kɔntʁaktakapʃtʏʁt͡sə
TRG: 	 k ɔ n t ʁ a k t   a k   a p ʃ t ʏ ʁ t ͡ s ə
PRED:	 k ɔ n t ʁ a k t   ʁ a k t a k     ɔ n t ʏ ʁ t ͡ s ə

SRC: 	 fɛɐpɔpətapdɪktəsɛnʃn
TRG: 	 f ɛ ɐ p ɔ p ə t   a p d ɪ k t   ə s ɛ n ʃ n
PRED:	 f ɛ ɐ p a p a p a p a p a p a p ə t   a p   ɛ n ʃ n   a p   ɛ n ʃ n

SRC: 	 bakndənbəfaɐbaɐbəhøɐ
TRG: 	 b a k n d ə n   b ə f a ɐ b a ɐ   b ə h ø ɐ
PRED:	 b a k n d ə   f a ɐ b ə f a ɐ b ə f a ɐ b ə h ø ɐ   b ə h ø ɐ   b ə

SRC: 	 ʃʊt͡sɡəbit͡sboʁʊŋaxt
TRG: 	 ʃ ʊ t ͡ s ɡ ə b i t ͡ s   b o ʁ ʊ ŋ   a x t
PRED:	 ʃ ʊ t ͡ s ɡ ə b a x

SRC: 	 zɔndɐʁɛçtvɪnzlndevotɐ
TRG: 	 z ɔ n d ɐ ʁ ɛ ç t   v ɪ n z l n   d e v o t ɐ
PRED:	 ç t v ɪ n d ɐ ʁ ɛ ç t v a ɪ n d e v o t ɐ

SRC: 	 apvyʃtʁaɪnfelthɛlenɪn
TRG: 	 a p v y ʃ t   ʁ a ɪ n f e l t   h ɛ l e n ɪ n
PRED:	 a p v y ʃ t ʁ a ɪ n   f e l   h ɛ l t   h ɛ l a ɪ n n ɪ n

SRC: 	 bitəhɛʁapzɛətfɛɐɛt͡st
TRG: 	 b i t ə   h ɛ ʁ a p z ɛ ə t   f ɛ ɐ ɛ t ͡ s t
PRED:	 b i t ə   h ɛ ʁ a p b i t   f ɛ ɐ ɛ t ͡ s t

SRC: 	 ɛɐzenstɡədœlmɐtɡəʃaɪt
TRG: 	 ɛ ɐ z e n s t   ɡ ə d œ l m ɐ t   ɡ ə ʃ a ɪ t
PRED:	 ɛ ɐ z e n s t ɡ ə   d œ l m ɐ t ɡ ə ʃ a ɪ t ɡ ə ʃ a ɪ t

SRC: 	 aɪnbʁɛçnɪn nukəbɛʁkst
TRG: 	 a ɪ n b ʁ ɛ ç n   ɪ n   n u k ə   b ɛ ʁ k s t
PRED:	 a ɪ n b ʁ ɛ ç n   ɪ n   ɪ n   ɪ n   ɪ n   ɪ n   ɪ n   ɪ n   ɪ n d o

SRC: 	 bəʁymtədaʃtestɡəʃtɛlə
TRG: 	 b ə ʁ y m t ə   d a ʃ t e s t   ɡ ə ʃ t ɛ l ə
PRED:	 b ə     t e s t e s t e s t e s t e s t e s t e s t   h a ʃ t e s t

SRC: 	 ʃtɔkbyçɐnmax altkaltn
TRG: 	 ʃ t ɔ k b y ç ɐ n   m a x   a l t   k a l t n
PRED:	 ʃ t ɔ k b y ç ɐ n   m a x   b y ç ɐ n   m a l t k a l t n

SRC: 	 laɪmtətʊnt͡sɛlɪçʃɛptn
TRG: 	 l a ɪ m t ə t   ʊ n t ͡ s ɛ l ɪ ç   ʃ ɛ p t n
PRED:	 l a ɪ m t ə t   ʊ n t ə t   ʊ n t ͡ s ɛ ɪ ç ʃ ɛ ʊ n t n

SRC: 	 fʁakzaʊznanvaɪznthupt
TRG: 	 f ʁ a k z a ʊ z n   a n v a ɪ z n t   h u p t
PRED:	 f ʁ a l t h u p t   a n t h u p t   h u p t

SRC: 	 veɐtəszamlniʁonɪʃəʁəs
TRG: 	 v e ɐ t ə s   z a m l n   i ʁ o n ɪ ʃ ə ʁ ə s
PRED:	 v e ɐ t ə s   z a m l n i ʁ ə s   z a m l n ɪ ʃ ə ʁ ə s

SRC: 	 ukʁaɪnɐstɔlstnʃʊpsəst
TRG: 	 u k ʁ a ɪ n ɐ s   t ɔ l s t n   ʃ ʊ p s ə s t
PRED:	 u k ʁ a ɪ n ɐ s   t ɔ l s t n   ʃ ʊ p s t n   ʃ ʊ p s ɐ s t n   ʃ ʊ

SRC: 	 t͡siət ʊmjaɐɡaŋsblumə
TRG: 	 t ͡ s i ə t   ʊ m   j a ɐ ɡ a ŋ s   b l u m ə
PRED:	 t ͡ s i ə t   ʊ m   b l u m a l u m ə

SRC: 	 ʁʊkltəsthøɐtə apstɛnt
TRG: 	 ʁ ʊ k l t ə s t   h ø ɐ t ə   a p   s t ɛ n t
PRED:	 ʁ ʊ k l t ə s t   h ø ɐ t ə   a p s t i

SRC: 	 kynɪʃmaɪnʃaɪstʁefyziɐ
TRG: 	 k y n ɪ ʃ m   a ɪ n ʃ a ɪ s t   ʁ e f y z i ɐ
PRED:	 k y n ɪ ʃ m   a ɪ n ʃ a ɪ s t ʁ e f y z i ɐ

SRC: 	 zeɡaŋzamtənəmlɛsɪçstɐ
TRG: 	 z e ɡ a ŋ   z a m t ə n ə m   l ɛ s ɪ ç s t ɐ
PRED:	 z e ɡ a ŋ z e ɡ a m t ə m   l ɛ s ɪ ç s t ə m   l ɛ s ɪ ç s t ɐ

SRC: 	 tʁʊmsvaʁtntkɔp͡fʃɔɪəm
TRG: 	 t ʁ ʊ m s   v a ʁ t n t   k ɔ p ͡ f ʃ ɔ ɪ ə m
PRED:	 t ʁ ʊ m s v a ʁ t n t   k ɔ p ͡ f ʃ ɔ p ͡ f ʃ ɔ p ͡ f ʃ ɔ p ͡ f ʃ ɔ

SRC: 	 dɪktiʁənɡɔsplsakʁə ʊm
TRG: 	 d ɪ k t i ʁ ə n   ɡ ɔ s p l s   a k ʁ ə   ʊ m
PRED:	 d ɪ k t i ʁ ə n   ɡ ɔ s p l s   p l s p l s   p l s p l s p l s   p

SRC: 	 ʃnikstnkɛlɐvɛndnleɐtə
TRG: 	 ʃ n i k s t n   k ɛ l ɐ v ɛ n d n   l e ɐ t ə
PRED:	 ʃ n i k s t n   k ɛ l ɐ   v ɛ l ɐ v ɛ l ɐ t ə

SRC: 	 ʃnɪt͡stnvaɪlɐnpʁɛmɪsn
TRG: 	 ʃ n ɪ t ͡ s t n   v a ɪ l ɐ n   p ʁ ɛ m ɪ s n
PRED:	 ʃ n ɪ t ͡ s t n   v a ɪ l ɐ n   v a ɪ l ɐ n   ɪ l ɐ n   p ʁ ɛ m ɪ l

SRC: 	 ʊndaŋkʃidəst apɡlaɪsn
TRG: 	 ʊ n d a ŋ k   ʃ i d ə s t   a p   ɡ l a ɪ s n
PRED:	 ʊ n d a ŋ k ʃ i d ə s   a p ɡ l a ɪ s t   a p ɡ l a ɪ s n

SRC: 	 ʃpɔtətətbɪlçnbəʃɪkɐnt
TRG: 	 ʃ p ɔ t ə t ə t   b ɪ l ç n   b ə ʃ ɪ k ɐ n t
PRED:	 ʃ p ɔ t ə t ə t   b ɪ l ç n b ɪ l ç n t   b ə ʃ ɪ k ɐ n t

SRC: 	 pʁɪt͡ʃətlɔxklaʊnfɪʃəs
TRG: 	 p ʁ ɪ t ͡ ʃ ə t   l ɔ x   k l a ʊ n f ɪ ʃ ə s
PRED:	 p ʁ ɪ t ͡ ʃ ə t   l a ʊ n f ɪ t l a ʊ n f ɪ ʃ ə s

SRC: 	 ɡəbaktəmhøɐbaɐzɪçləst
TRG: 	 ɡ ə b a k t ə m   h ø ɐ b a ɐ   z ɪ ç l ə s t
PRED:	 ɡ ə b a k t ə m   h ø ɐ b a ɐ b a ɐ b a ɐ b a ɐ b a ɐ b a ɐ b a ɐ b

SRC: 	 aʊfbɔɪmtfuʁoʁəʃlaɪfnt
TRG: 	 a ʊ f b ɔ ɪ m t   f u ʁ o ʁ ə   ʃ l a ɪ f n t
PRED:	 a ʊ f b ɔ ɪ m t   f u ʁ o ʁ o ʁ o ʁ o ʁ ə   ʃ l a ɪ f n t

SRC: 	 ɡamləʃvʊndəsdʁʊkfasʊŋ
TRG: 	 ɡ a m l ə   ʃ v ʊ n d ə s   d ʁ ʊ k f a s ʊ ŋ
PRED:	 ɡ a m l ə ʃ v ʊ n d ə s   d ʁ ʊ k f a s   d ʁ ʊ k f a s h ʊ ŋ

